"Title";"Acronym";"Rank";"PrimaryFoR"
"IEEE Industrial Electronics Society";"IECON";"C";"CSE"
"IEEE International Conference on Computer Design";"ICCD";"C";"CSE"
"IEEE International Conference on Emerging Technologies and Factory Automation";"ETFA";"C";"CSE"
"IEEE International Conference on Industrial Informatics";"INDIN";"C";"CSE"
"IEEE International Conference on Quantum Computing and Engineering";"QCE";"National/Regional";"CSE"
"IEEE International Conference on Robotics and Automation";"ICRA";"A*";"4602"
"IEEE International Parallel and Distributed Processing Symposium (was IPPS and SPDP)";"IPDPS";"A";"4606"
"IEEE International Symposium on Circuits and Systems";"ISCAS";"C";"CSE"
"IEEE International Test Conference";"ITC";"A";"CSE"
"IEEE Symposium on Field Programmable Custom Computing Machines";"FCCM";"National/Regional";"CSE"
"IEEE VLSI Test Symposium";"VTS";"National/Regional";"CSE"
"IEEE/ACM International Conference on Computer-Aided Design";"ICCAD";"A";"CSE"
"IEEE/ACM International Symposium on Low Power Electronics and Design";"ISLPED";"A";"CSE"
"IEEE/IFIP International Conference on Dependable Systems and Networks";"DSN";"A";"4606"
"IEEE/IFIP International Conference on Very Large Scale Integration of System-on-Chip";"VLSI-SOC";"C";"CSE"
"IEEE/RSJ International Conference on Intelligent Robots and Systems";"IROS";"A";"4602"
"International Conference for High Performance Computing, Networking, Storage and Analysis (was Supercomputing Conference)";"SC";"A";"CSE"
"International Conference on Factory Communication Systems";"WFCS";"C";"CSE"
"International Conference on Hardware/Software Codesign and System Synthesis (previously ISSN, changed in 2003)";"CODES+ISSS";"Journal Published";"CSE"
"International Conference on Image Processing Applications and Systems";"IPAS";"C";"4603"
"International Symposium on Design and Diagnostics of Electronic Circuits and Systems";"DDECS";"C";"CSE"
"International Symposium on High Performance Computer Architecture";"HPCA";"A*";"CSE"
"International Symposium on Microarchitecture";"MICRO";"A*";"CSE"
"ISC High Performance (was International Supercomputing Conference)";"ISC";"National/Regional";"4606"
"On-Line Testing and Robust System Design";"IOLTS";"C";"CSE"
